customer_id,age,annual_income,credit_score,employment_status,years_employed,debt_to_income_ratio,savings_balance,checking_balance,home_ownership,marital_status,num_dependents,education_level,loan_purpose,requested_loan_amount,existing_loans,payment_history,loan_term,interest_rate,monthly_payment,approval_status
f74efbce-7ce5-44fd-9722-5623dff4282a,27,70437.36,693,Self-Employed,7,40.24,6777.81,27760.35,Rent,Divorced,2,Master's,Car,11155.71,5,Fair,5,13.63,257.43892014774974,Rejected
a15d89df-4a42-4525-9145-f72fa0e8871d,50,48222.14,763,Employed,23,31.62,13201.69,28618.44,Rent,Single,0,Bachelor's,Medical,25189.71,2,Good,5,6.75,495.8206659355476,Approved
7117ee04-047b-4f7c-94cf-ab208f77deb3,65,55969.69,700,Self-Employed,40,36.41,28280.35,38552.18,Rent,Widowed,4,High School,Education,45922.72,2,Fair,3,8.82,1456.4861164281238,Rejected
c8654ad5-0924-4588-9331-98fd5648c514,28,34480.61,675,Employed,1,30.67,69425.71,30575.8,Own,Single,0,Master's,Personal,29262.08,2,Fair,5,7.03,579.8385222891986,Rejected
7986e4dc-7298-41a0-bfde-d87e47fe60bf,21,110647.2,703,Unemployed,0,37.75,61428.62,29448.63,Rent,Divorced,0,Bachelor's,Personal,44179.08,5,Fair,5,7.96,894.9469481325235,Rejected
0ebd96e8-fd52-4b15-9169-576293a8087d,27,29287.0,668,Employed,5,39.8,45917.13,39370.85,Rent,Divorced,0,PhD,Education,32331.05,3,Fair,2,14.46,1559.3420474815036,Rejected
3334203b-5cff-40fa-9b65-055238709eb2,26,3295.09,747,Unemployed,0,32.12,28592.44,19166.38,Rent,Divorced,1,High School,Personal,33240.08,3,Fair,3,13.62,1129.9419305724816,Rejected
b494ae31-c574-4e9f-911f-f1f683b47bfb,64,44134.18,761,Self-Employed,40,37.53,8829.22,37583.82,Rent,Widowed,5,Bachelor's,Education,61073.17,3,Good,4,6.32,1443.282535991413,Approved
27354ebf-6bed-481b-ac2f-245ab46e657b,51,50837.22,670,Employed,1,49.46,95772.8,31759.51,Own,Married,5,Bachelor's,Car,20866.63,1,Fair,5,14.25,488.23872752140267,Rejected
a8813adb-d7a9-4b33-b292-5289b517b701,66,28025.92,772,Self-Employed,19,14.35,61936.26,12416.8,Own,Widowed,1,PhD,Medical,27477.97,1,Good,3,4.5,817.3850984090863,Approved
42133a6e-765f-4ded-9297-3f4e25f755c8,32,76586.0,619,Unemployed,0,12.7,36748.64,12417.63,Own,Single,0,High School,Medical,37741.21,3,Fair,2,7.32,1695.2516998317851,Rejected
161baeee-3045-4057-a0ca-5c0fd00fefaf,65,74998.09,671,Self-Employed,20,38.49,8371.98,18925.9,Rent,Widowed,3,High School,Education,53491.64,2,Fair,2,7.87,2416.111672932229,Rejected
df1474fd-3dda-4d63-84ec-77479fea1f29,68,85821.78,646,Retired,0,24.69,78100.69,15485.95,Own,Single,0,PhD,Personal,2557.1,4,Fair,4,13.37,69.07110707032417,Rejected
b588a5ad-889f-4e7d-81f1-42097b352374,40,68307.1,613,Self-Employed,7,18.54,72451.67,49309.51,Rent,Widowed,5,Master's,Education,26442.88,5,Fair,1,9.18,2314.676711110808,Rejected
59569219-df2a-4e21-9bde-e1cd088e7355,60,79384.08,734,Employed,7,33.14,48161.65,43796.36,Mortgage,Divorced,3,High School,Car,17618.25,0,Fair,4,14.18,483.0370195107181,Rejected
645a3525-4dc3-44a6-9d8e-24f3c9372ca4,29,56706.06,717,Unemployed,0,18.05,84851.41,11876.59,Rent,Divorced,0,Master's,Medical,6370.21,5,Fair,4,9.62,160.40494968907603,Rejected
1994ae73-6891-436e-b397-7cb1c2797b9c,30,85580.19,773,Unemployed,0,44.64,79424.55,46020.41,Rent,Married,1,Bachelor's,Personal,29412.49,4,Good,1,6.74,2541.443032019085,Rejected
d3998643-9503-4f39-ac4d-e15f5fc50a87,42,57010.62,746,Unemployed,0,25.91,33463.38,4474.92,Own,Single,0,High School,Education,78274.14,3,Fair,4,11.01,2023.416199160245,Rejected
a92433a8-e602-4c2d-8337-1082e220563a,71,13989.54,757,Self-Employed,40,12.45,80896.16,5518.68,Own,Married,1,High School,Personal,21794.18,4,Good,3,4.22,645.5861325289585,Approved
85b24d4d-c3cd-4e92-89a4-782229e06810,57,113975.3,695,Self-Employed,33,35.56,16816.4,23366.9,Mortgage,Single,0,High School,Education,98749.53,0,Fair,2,11.04,4604.336204437572,Rejected
a3678879-c480-4149-83a9-3358e7bafff4,50,66974.04,715,Self-Employed,19,38.09,70527.62,13764.0,Mortgage,Divorced,1,Bachelor's,Personal,8979.17,4,Fair,3,13.34,304.01629219373575,Rejected
033a4496-99eb-4cda-ae67-64fa55cbbfb3,63,36003.16,691,Employed,21,41.1,44481.84,40148.63,Rent,Divorced,0,PhD,Personal,6476.73,4,Fair,5,14.25,151.54293787255986,Rejected
